"","time","author","title","link"
"70","2020-05-19 14:30:00","Horváth Zoltán","Történelmet írhat az emberiség a koronavírus elleni vakcinával - A kapkodásért viszont súlyos árat fizethetünk","https://www.portfolio.hu/uzlet/20200519/tortenelmet-irhat-az-emberiseg-a-koronavirus-elleni-vakcinaval-a-kapkodasert-viszont-sulyos-arat-fizethetunk-432496"
"71","2020-05-19 13:00:00","Portfolio","Az iroda halott! Az iroda halott?","https://www.portfolio.hu/ingatlan/20200519/az-iroda-halott-az-iroda-halott-432508"
"72","2020-05-14 14:01:00","Nagy Viktor","Recsegnek ropognak a tõzsdék - Hogy jutottunk idáig, és mi jöhet most?","https://www.portfolio.hu/uzlet/20200514/recsegnek-ropognak-a-tozsdek-hogy-jutottunk-idaig-es-mi-johet-most-431850"
"73","2020-05-13 11:00:00","Portfolio","Nincs vége a forint vesszõfutásának - a részvénypiacok túlzottan optimistának tûnnek","https://www.portfolio.hu/befektetes/20200513/nincs-vege-a-forint-vesszofutasanak-a-reszvenypiacok-tulzottan-optimistanak-tunnek-431336"
"74","2020-05-07 10:00:00","Pallag Róbert","Kincstári optimizmussal a válság ellen","https://www.portfolio.hu/uzlet/20200507/kincstari-optimizmussal-a-valsag-ellen-430358"
"75","2020-05-06 14:00:00","Portfolio","A koronavírus-karantén nagy nyertesei: a videójáték-készítõk","https://www.portfolio.hu/uzlet/20200506/a-koronavirus-karanten-nagy-nyertesei-a-videojatek-keszitok-430192"
"76","2020-05-05 10:01:00","Portfolio","Begyújtották a rakétákat az amerikai nagybankok: csak úgy szórják az új mentõcsomagot","https://www.portfolio.hu/bank/20200505/begyujtottak-a-raketakat-az-amerikai-nagybankok-csak-ugy-szorjak-az-uj-mentocsomagot-430008"
"77","2020-04-28 10:40:00","Portfolio","Részvénybe fektetnél? Nézd meg, mit gondol errõl 107 profi!","https://www.portfolio.hu/uzlet/20200428/reszvenybe-fektetnel-nezd-meg-mit-gondol-errol-107-profi-428670"
"78","2020-04-27 11:33:00","Portfolio","Itt vannak az ország legnagyobb raktárai - Látványos ábrákon a hazai piac fejlõdése","https://www.portfolio.hu/ingatlan/20200427/itt-vannak-az-orszag-legnagyobb-raktarai-latvanyos-abrakon-a-hazai-piac-fejlodese-428538"
"79","2020-04-25 09:45:00","Portfolio","7 sztártréder, aki rommá kereste magát a koronavíruson","https://www.portfolio.hu/befektetes/20200425/7-sztartreder-aki-romma-kereste-magat-a-koronaviruson-427894"
"80","2020-04-22 17:49:00","Csiki Gergely","Ez a koronavírus-járványgörbe tényleg azt mutatja, amire Orbán Viktor számít","https://www.portfolio.hu/gazdasag/20200422/ez-a-koronavirus-jarvanygorbe-tenyleg-azt-mutatja-amire-orban-viktor-szamit-427702"
"81","2020-04-20 23:54:00","MTI, Portfolio","Szlávik János elmondta, hogyan kerülhetõ el az apokaliptikus járvány Magyarországon","https://www.portfolio.hu/gazdasag/20200420/szlavik-janos-elmondta-hogyan-kerulheto-el-az-apokaliptikus-jarvany-magyarorszagon-427298"
"82","2020-04-05 12:15:00","Fodor Szabolcs, Borbély Zsolt","Érdekes ötlet látott napvilágot: lehet Magyarországon adatokkal védekezni a járvány ellen?","https://www.portfolio.hu/gazdasag/20200405/erdekes-otlet-latott-napvilagot-lehet-magyarorszagon-adatokkal-vedekezni-a-jarvany-ellen-423728"
"83","2020-04-02 12:30:00","Szombathelyi Zsolt, Richter","Digitalizáció az egészségügyben: most fog csak robbanni igazán!","https://www.portfolio.hu/gazdasag/20200402/digitalizacio-az-egeszsegugyben-most-fog-csak-robbanni-igazan-422586"
"84","2020-03-28 16:28:00","Portfolio","Mindent be kell vetni a koronavírus elleni harcban – Beindultak a megfigyelõgépezetek is","https://www.portfolio.hu/gazdasag/20200328/mindent-be-kell-vetni-a-koronavirus-elleni-harcban-beindultak-a-megfigyelogepezetek-is-422484"
"85","2020-03-28 11:40:00","Szabó S. László, Szabó Consulting","Adatvédelem a koronavírus idején - Mit tehetnek az adatainkkal és mit nem?","https://www.portfolio.hu/uzlet/20200328/adatvedelem-a-koronavirus-idejen-mit-tehetnek-az-adatainkkal-es-mit-nem-421316"
"86","2020-03-26 10:55:00","Bosnyák Zsolt","A koronavírus és a Fed elintézte: eljött az arany ideje, mint 2008-ban","https://www.portfolio.hu/uzlet/20200326/a-koronavirus-es-a-fed-elintezte-eljott-az-arany-ideje-mint-2008-ban-421982"
"87","2020-03-12 10:41:00","Portfolio","Elbántak a technológiai részvényekkel is, érdemes már vételi lehetõségeket keresni?","https://www.portfolio.hu/uzlet/20200312/elbantak-a-technologiai-reszvenyekkel-is-erdemes-mar-veteli-lehetosegeket-keresni-419075"
"88","2020-03-10 16:28:00","Portfolio","Megszólaltak a profik: ezek lesznek a jövõ befektetései","https://www.portfolio.hu/befektetes/20200310/megszolaltak-a-profik-ezek-lesznek-a-jovo-befektetesei-418811"
"89","2020-03-10 12:56:00","Portfolio","Betört Magyarországra a világhódító befektetés - A magyar alapoknál is változások jönnek","https://www.portfolio.hu/befektetes/20200310/betort-magyarorszagra-a-vilaghodito-befektetes-a-magyar-alapoknal-is-valtozasok-jonnek-418771"
"90","2020-03-10 10:41:00","Portfolio","Történelmi zuhanás az olajpiacon, két út áll elõttünk","https://www.portfolio.hu/uzlet/20200310/tortenelmi-zuhanas-az-olajpiacon-ket-ut-all-elottunk-418727"
"91","2020-03-09 11:08:00","Portfolio","Már több mint 1000 vállalkozás használja az elsõ magyar nyílt banki platformot","https://www.portfolio.hu/bank/20200309/mar-tobb-mint-1000-vallalkozas-hasznalja-az-elso-magyar-nyilt-banki-platformot-418581"
"92","2020-03-08 10:00:00","Portfolio","A gigantikus naperõmûveké a jövõ, csak így menekülhet meg a világ","https://www.portfolio.hu/uzlet/20200308/a-gigantikus-naperomuveke-a-jovo-csak-igy-menekulhet-meg-a-vilag-417575"
"93","2020-03-05 20:27:00","Portfolio","Inkább kifizeti összes dolgozójának a Magyarországon is ismert befektetõ, csak ne használják a metrót a koronavírus miatt","https://www.portfolio.hu/befektetes/20200305/inkabb-kifizeti-osszes-dolgozojanak-a-magyarorszagon-is-ismert-befekteto-csak-ne-hasznaljak-a-metrot-a-koronavirus-miatt-418297"
"94","2020-03-05 06:44:00","Portfolio","Ezt mûvelte a babaváró hitel: rohamtempóban adósodik el a magyar","https://www.portfolio.hu/bank/20200305/ezt-muvelte-a-babavaro-hitel-rohamtempoban-adosodik-el-a-magyar-418119"
"95","2020-03-04 07:56:00","Portfolio","Amire mindannyian vágyunk: csúszás nélküli, olcsó és kiváló minõségû kivitelezés","https://www.portfolio.hu/ingatlan/20200304/amire-mindannyian-vagyunk-csuszas-nelkuli-olcso-es-kivalo-minosegu-kivitelezes-417935"
"96","2020-03-04 05:51:00","Hornyák József","Fogadjunk, hogy te sem kapod meg az átlagfizetést! Itt az igazság a magyar bérekrõl","https://www.portfolio.hu/gazdasag/20200304/fogadjunk-hogy-te-sem-kapod-meg-az-atlagfizetest-itt-az-igazsag-a-magyar-berekrol-417815"
"97","2020-03-03 10:48:00","Portfolio","Trump ""nagy kamatvágást"" sürget a koronavírus miatt","https://www.portfolio.hu/gazdasag/20200303/trump-nagy-kamatvagast-surget-a-koronavirus-miatt-417861"
"98","2020-02-28 10:52:00","Portfolio","Az építõiparnál rosszabb digitális állapotban csak a mezõgazdaság és a vadászat van","https://www.portfolio.hu/ingatlan/20200228/az-epitoiparnal-rosszabb-digitalis-allapotban-csak-a-mezogazdasag-es-a-vadaszat-van-417483"
"99","2020-02-27 14:39:00","Portfolio","Egyre nagyobb bajban az Aston Martin","https://www.portfolio.hu/uzlet/20200227/egyre-nagyobb-bajban-az-aston-martin-417395"
"100","2020-02-27 09:02:00","Portfolio","Koronavírus: április végére már nem lesz ekkora félelem","https://www.portfolio.hu/uzlet/20200227/koronavirus-aprilis-vegere-mar-nem-lesz-ekkora-felelem-417319"
"101","2020-02-20 13:00:00","Portfolio","Ma is egymásnak ugorhat Merkel és Macron – Most épp az EU-büdzsé miatt","https://www.portfolio.hu/unios-forrasok/20200220/ma-is-egymasnak-ugorhat-merkel-es-macron-most-epp-az-eu-budzse-miatt-416569"
"102","2020-02-18 13:40:00","Veres Dóra","Jelentõs lépésre készül a NAV – fel kell készülnie a cégeknek és a katásoknak is","https://www.portfolio.hu/gazdasag/20200218/jelentos-lepesre-keszul-a-nav-fel-kell-keszulnie-a-cegeknek-es-a-katasoknak-is-415601"
"103","2020-02-11 16:35:00","Portfolio","Képzeljünk el egy olyan világot, ahol a Tesla a Google kezében van","https://www.portfolio.hu/uzlet/20200211/kepzeljunk-el-egy-olyan-vilagot-ahol-a-tesla-a-google-kezeben-van-415457"
"104","2020-02-11 08:50:00","Portfolio","Monzo-vezér: keresztbe tesznek a bankok a haladásnak!","https://www.portfolio.hu/bank/20200211/monzo-vezer-keresztbe-tesznek-a-bankok-a-haladasnak-415377"
"105","2020-02-02 15:26:00","MTI","Alig történt meg a Brexit, vannak, akik már Nagy-Britannia visszalépésérõl beszélnek","https://www.portfolio.hu/uzlet/20200202/alig-tortent-meg-a-brexit-vannak-akik-mar-nagy-britannia-visszalepeserol-beszelnek-414453"
