name,points,division,age,won,lost,draw,stance,residence_city,residence_country,rank,stars,last6,last5,last4,last3,last2,last1
Charlie Navarro,2.947,super welter,41,29,10,0,orthodox,Maturin, Venezuela,1581,2,L,W,W,W,W,L
Aitor Nieto,2.945,welter,37,25,6,1,orthodox,Oviedo, Spain,1582,2,L,W,L,W,W,W
Amir Mansour,2.942,heavy,48,23,4,1,southpaw,Wilmington, USA,1583,2,D,L,W,NC,L,L
Brandon Brewer,2.941,middle,36,24,1,1,orthodox,Nackawic, Canada,1584,2,W,W,W,W,L,W
Juan Carlos Abreu,2.94,welter,33,23,6,1,orthodox,La Romana, Dominican Republic,1585,2,W,L,L,W,W,L
Omar Juarez*,2.939,super light,21,9,0,0,orthodox,Brownsville, USA,1586,2,W,W,W,W,W,W
Sebastian Horacio Papeschi,2.936,super middle,29,15,3,0,southpaw,Lujan, Argentina,1587,2,L,W,W,L,W,L
Mirco Martin,2.934,fly,28,14,0,1,orthodox,Karlsruhe, Germany,1588,2,W,W,W,W,W,D
Shinobu Charlie Hosokawa,2.934,middle,36,12,6,1,orthodox,NA,Japan,1589,2,W,L,D,W,L,L
Jeremy Cuevas,2.933,light,24,13,1,0,southpaw,Philadelphia, USA,1590,2,W,W,W,L,W,W
Lorenzo Simpson,2.933,middle,20,9,0,0,southpaw,Baltimore, USA,1591,2,W,W,W,W,W,W
Genaro Gamez,2.93,super light,25,10,1,0,orthodox,San Diego, USA,1592,2,W,W,W,W,L,W
Brandon Ogilvie,2.93,light,27,22,3,1,orthodox,Perth, Australia,1593,2,W,W,W,W,W,L
Arnold Gjergjaj,2.928,heavy,36,33,3,0,orthodox,Pratteln, Switzerland,1594,2,W,L,W,W,L,W
John Joe Nevin,2.928,super feather,31,14,0,0,orthodox,Mullingar, Ireland,1595,2,W,W,W,W,W,W
Kaisee Benjamin,2.922,welter,25,11,1,1,orthodox,Birmingham, United Kingdom,1596,2,W,D,W,W,W,W
Wendy Toussaint,2.92,super welter,28,12,1,0,NA,Huntington, USA,1597,2,W,W,W,W,W,L
Serif Gurdijeljac,2.916,super feather,25,20,5,0,orthodox,Novi Pazar, Serbia,1598,2,W,W,W,W,W,L
Wade Ryan*,2.916,super welter,30,17,9,0,southpaw,Gunnedah, Australia,1599,2,W,L,W,L,L,W
Mate Kis*,2.909,super middle,27,17,0,2,orthodox,Szeged, Hungary,1600,2,W,W,W,W,W,W
Iman Ahmadov,2.907,super light,26,3,0,0,orthodox,Baku, Azerbaijan,1601,2,Blank,Blank,Blank,W,W,W
Domonique Dolton,2.902,welter,31,22,3,1,orthodox,Detroit, USA,1602,2,W,L,W,W,W,L
Gamal Yafai*,2.891,super bantam,29,17,1,0,orthodox,Birmingham, United Kingdom,1603,2,W,W,L,W,W,W
Axel Aragon Vega,2.887,light fly,20,14,3,1,orthodox,Ensenada, Mexico,1604,2,L,W,W,W,L,W
Viktor Slavinskyi,2.886,feather,30,12,0,1,southpaw,Los Angeles, USA,1605,2,D,W,W,W,W,W
Jonathan Lopez Marcano,2.88,bantam,23,8,0,1,orthodox,Humacao, Puerto Rico,1606,2,W,W,W,D,W,W
Xolisa Magusha,2.879,minimum,NA,13,6,1,southpaw,Whittlesea, South Africa,1607,2,W,L,L,W,W,L
Abraham Rodriguez,2.873,minimum,26,27,2,0,orthodox,Tijuana, Mexico,1608,2,W,L,W,W,W,W
Jessy Martinez,2.87,super welter,27,15,0,0,orthodox,Woodland Hills, USA,1609,2,W,W,W,W,W,W
Tsuyoshi Sato,2.866,light fly,23,10,2,1,southpaw,NA,Japan,1610,2,W,W,W,W,W,L
Vaclav Pejsar*,2.863,cruiser,36,15,9,0,orthodox,Plzen, Czech Republic,1611,2,L,W,W,L,L,W
Ytalo Perea,2.862,heavy,27,11,5,2,NA,Guayaquil, Ecuador,1612,2,W,W,L,W,L,L
KJ Cataraja,2.86,super fly,25,11,0,0,orthodox,Cebu City, Philippines,1613,2,W,W,W,W,W,W
Danny Ball,2.856,welter,24,9,0,1,orthodox,Kingswinford, United Kingdom,1614,2,W,W,W,W,D,W
Reuquen Cona Facundo Arce,2.855,feather,25,12,3,2,orthodox,Marcos Paz, Argentina,1615,2,W,W,D,W,W,L
Boyd Allen,2.852,super welter,NA,5,1,1,NA,NA,South Africa,1616,2,W,W,W,D,W,L
Wesley Ferrer,2.848,super light,28,14,1,1,orthodox,Brooklyn, USA,1617,2,W,W,D,L,W,W
Hairon Socarras,2.848,feather,27,23,1,3,orthodox,Miami, USA,1618,2,W,W,W,W,L,W
Jakkrawut Majoogoen,2.848,super bantam,25,35,1,1,orthodox,Nakhon Pathom, Thailand,1619,2,W,W,D,W,W,W
David Fernando Cuellar,2.848,super fly,19,18,0,0,NA,Queretaro, Mexico,1620,2,W,W,W,W,W,W
Elton Dharry,2.847,super fly,35,24,6,1,orthodox,Brooklyn, USA,1621,2,W,W,W,W,W,L
Vincenzo La Femina,2.842,super bantam,26,6,0,0,orthodox,NA,Italy,1622,2,W,W,W,W,W,W
John Bauza,2.84,super light,22,14,0,0,southpaw,North Bergen, USA,1623,2,W,W,W,W,W,W
Francis Lafreniere,2.839,middle,32,20,7,2,orthodox,Coteau-du-Lac, Canada,1624,2,L,W,L,W,W,W
Jheritz Chavez,2.839,super light,29,9,4,2,orthodox,San Pedro, Philippines,1625,2,W,L,W,L,W,L
Thomas Lamanna,2.838,super welter,29,29,4,1,orthodox,Millville, USA,1626,2,W,W,W,L,L,W
Duke Micah,2.83,bantam,29,24,1,0,NA,Accra, Ghana,1627,2,W,W,W,W,W,L
Zhora Hamazaryan,2.83,light,24,9,2,2,orthodox,Los Angeles, USA,1628,2,W,W,L,D,D,L
Steve Spark,2.824,super light,24,11,1,0,orthodox,Toowoomba, Australia,1629,2,W,W,W,W,W,W
Starling Wilson Castillo,2.823,light,25,12,0,0,NA,San Cristobal, Dominican Republic,1630,2,W,W,W,W,W,W
Frank Haroche,2.82,super welter,40,45,18,5,southpaw,Lyon, France,1631,2,L,W,W,W,W,L
Francisco Alarcon*,2.818,bantam,26,10,5,2,NA,Cuautitlan Izcalli, Mexico,1632,2,L,W,L,W,L,W
Obodai Sai,2.817,middle,33,35,3,1,orthodox,Accra, Ghana,1633,2,W,L,W,W,W,D
Jeovanis Barraza*,2.815,welter,25,21,1,0,orthodox,Barranquilla, Colombia,1634,2,W,W,W,W,L,W
Florian Marku,2.813,welter,28,7,0,1,southpaw,NA,United Kingdom,1635,2,W,W,W,W,W,D
Jonathan Wilson Sanchez,2.804,middle,27,17,4,1,orthodox,Puerto Madryn, Argentina,1636,2,W,W,W,L,W,W
Yeis Gabriel Solano*,2.802,light,28,15,0,0,southpaw,Monteria, Colombia,1637,2,W,W,W,W,W,W
Marco John Rementizo,2.801,minimum,21,12,3,0,southpaw,Cagayan de Oro City, Philippines,1638,2,W,L,W,W,W,W
Yunieski Gonzalez,2.793,light heavy,35,20,3,0,orthodox,Miami, USA,1639,2,L,W,W,L,W,W
Jaysever Abcede,2.789,super fly,26,20,9,0,southpaw,Valencia City, Philippines,1640,2,W,W,W,W,L,W
Nikita Kuznetsov,2.788,super feather,25,11,2,2,orthodox,Nizhny Tagil, Russia,1641,2,W,D,W,W,L,L
Mateo Damian Veron,2.784,middle,31,29,26,3,orthodox,Madrid, Spain,1642,2,L,L,L,L,L,W
